tmdb_id,imdb_id,title,original_language,release_year,overview,genres,vote_average,vote_count,poster_url
257451,tt3244992,Trailer Park Boys: Don't Legalize It,en,2014.0,"Out of jail and broke, Julian concocts an outrageously greasy scheme to get rich and, to make it even greasier, he will have to deliver his product to his arch-enemy, Cyrus, who’s waiting in Montreal to close the dirty deal. Meanwhile, Ricky’s dope growing business is under a major threat when the government announces a plan to legalize marijuana. Bubbles reluctantly joins them on his own quest to claim an inheritance left to him by his long-lost parents.",Comedy,6.4,76,https://image.tmdb.org/t/p/w500/oDuumBFDh8Pz3OyuGycw3Hu9rHh.jpg
28093,tt0034891,In Which We Serve,en,1942.0,"The story of the HMS Torrin, from its construction to its sinking in the Mediterranean during action in World War II. The ship’s first and only commanding officer is Captain E.V. Kinross, who trains his men not only to be loyal to him and the country, but—most importantly—to themselves.","Drama, War",6.8,99,https://image.tmdb.org/t/p/w500/i4SkM1rzBROLt9d33u0KGr2SVVm.jpg
781728,tt13179918,Meteor Moon,en,2020.0,"When a meteor crashes into the moon and shifts its axis, Earth's gravity pulls the moon into the path of the planet. Now, a group of scientists must figure out how to stop the moon from hitting the earth before it's too late.","Adventure, Science Fiction",3.6,22,https://image.tmdb.org/t/p/w500/pqi519jCXLW0OUY1KAzjsH3B8c6.jpg
159138,tt2499076,The Crash Reel,en,2013.0,"The Crash Reel tells the story of a sport and the risks that athletes face in reaching the pinnacle of their profession. This is Kevin Pearce’s story, a celebrated snowboarder who sustained a brain injury in a trick gone wrong and who now aims, against all the odds, to get back on the snow.",Documentary,7.3,65,https://image.tmdb.org/t/p/w500/k2TCICq6OMmvbxLZ9Wm55ky73H8.jpg
519597,tt7679126,The Best Summer of My Life,es,2018.0,A father in financial problems takes his son on vacation as he tries to solve his life.,"Comedy, Family",5.806,144,https://image.tmdb.org/t/p/w500/q3RwcNpLTdum99fTWcMazEwSd4v.jpg
126400,,Gangs of Wasseypur - Part 2,hi,2012.0,"After the death of his father and brother Danish, Faizal Khan vows to take revenge by destroying Ramadhir Singh's gang.","Crime, Thriller, Action",7.764,104,https://image.tmdb.org/t/p/w500/4CVPyT10Cvw9BCgWNKXiRcXntuc.jpg
159154,tt1824254,We Steal Secrets: The Story of WikiLeaks,en,2013.0,"Julian Assange. Bradley Manning. Collateral murder. Cablegate. WikiLeaks. These people and terms have exploded into public consciousness by fundamentally changing the way democratic societies deal with privacy, secrecy, and the right to information, perhaps for generations to come. We Steal Secrets: The Story of WikiLeaks is an extensive examination of all things related to WikiLeaks and the larger global debate over access to information.","Documentary, Drama",6.5,163,https://image.tmdb.org/t/p/w500/tJHQbEtZSUry2QDbQcv8ziMt7Ib.jpg
159151,tt2492916,Muscle Shoals,en,2013.0,"In a tiny Alabama town with the curious name of Muscle Shoals, something miraculous sprang from the mud of the Tennessee River. A group of unassuming, yet incredibly talented, locals came together and spawned some of the greatest music of all time: “Mustang Sally,” “I Never Loved a Man,” “Wild Horses,” and many more. During the most incendiary periods of racial hostility, white folks and black folks came together to create music that would last for generations and gave birth to the incomparable “Muscle Shoals sound.”","Documentary, History, Music",7.2,70,https://image.tmdb.org/t/p/w500/pyNlrzlBvRl2ErItmiOBc8nf8sm.jpg
257475,tt3413018,Tamako Love Story,ja,2014.0,"Devoted to her family’s rice-cake–making business and the high school baton club, Tamako is a little slow when it comes to love. She’s oblivious to her childhood friend Mochizo’s affections, even though all their friends know. With graduation closing in and Mochizo leaving for Tokyo, will Tamako realise her feelings and tell him in time?","Romance, Animation, Comedy",7.2,192,https://image.tmdb.org/t/p/w500/m59jfWqV6h3GAud7tSPShTXW6ZH.jpg
28124,tt0081480,Seems Like Old Times,en,1980.0,"After being falsely accused of robbing a bank, a writer seeks the help of his lawyer ex-wife to clear his name. However, hilarity ensues when he must hide from her husband, who’s throwing a party for law enforcement officials.","Comedy, Romance",6.3,158,https://image.tmdb.org/t/p/w500/mT6l2TO3kbeG7olZV5Zmd8MqSh8.jpg
